order_id,order_date,dispatch_date,delivery_date,seller_id,product_category,price,quantity,warehouse_zone,customer_rating,review_text,sentiment_score,return_flag,complaint_code,delivery_method,customer_region,delivery_delay,suspicious_review
O00000,2025-05-28,2025-05-30,2025-06-06,s033,fashion,193.52,1.0,kano,4.0,Packaging could be better but the item works fine.,0.458333333,0,no complaint,express,north central,7,1
O00001,2025-06-24,2025-06-26,2025-07-03,s018,groceries,86.45,3.0,lagos,3.0,Packaging could be better but the item works fine.,0.458333333,0,no complaint,standard,volta,7,1
O00006,2025-05-15,2025-05-17,2025-05-21,s034,health,491.78,1.0,accra,4.0,Low quality. Would not recommend at all.,0.0,0,no complaint,express,greater accra,4,1
O00007,2025-05-18,2025-05-19,2025-05-22,s015,groceries,93.56,3.0,kumasi,5.0,Arrived late and the item looks used.,-0.3,0,no complaint,standard,greater accra,3,1
O00008,2025-06-11,2025-06-11,2025-06-20,s042,toys,286.01,2.0,kumasi,1.0,Item arrived in perfect condition and works well.,1.0,0,no complaint,express,ashanti,9,1
O00009,2025-05-09,2025-05-12,2025-05-19,s023,home & living,225.67,3.0,lagos,1.0,Arrived late and the item looks used.,-0.3,0,no complaint,pickup,volta,7,1
O00010,2025-04-24,2025-04-27,2025-04-28,s023,health,136.8,4.0,kumasi,3.0,"Met my expectations, nothing more.",0.5,0,no complaint,pickup,greater accra,1,1
O00011,2025-05-31,2025-06-04,2025-06-05,s011,health,111.89,4.0,accra,4.0,"Just received it, will see how it performs over time.",0.0,0,no complaint,express,south west,1,1
O00012,2025-05-02,2025-05-05,2025-05-12,s005,fashion,470.35,2.0,lagos,4.0,"Absolutely love this product, great value for money.",0.65,0,no complaint,pickup,south east,7,1
O00013,2025-05-16,2025-05-20,2025-05-21,s046,electronics,265.21,2.0,lagos,4.0,"Just received it, will see how it performs over time.",0.0,0,no complaint,pickup,south east,1,1
O00014,2025-06-20,2025-06-23,2025-07-01,s049,home & living,297.51,1.0,kumasi,3.0,Item arrived in perfect condition and works well.,1.0,0,no complaint,standard,volta,8,1
O00015,2025-06-12,2025-06-12,2025-06-19,s045,toys,90.98,1.0,kano,3.0,Very disappointed. Not what was shown online.,-0.975,0,no complaint,pickup,south east,7,1
O00016,2025-04-16,2025-04-18,2025-04-20,s025,electronics,153.81,3.0,kumasi,4.0,No review,0.0,0,no complaint,standard,ashanti,2,1
O00017,2025-04-18,2025-04-20,2025-04-24,s044,electronics,367.21,1.0,accra,5.0,No review,0.0,0,no complaint,express,north central,4,1
